Round ID,Company ID,Organization Name,Organization Name URL,Organization Founded Year,Investor ID,Investor Name,Investor URL,Investor Founded Date,Investor Longitude,Investor Latitude,Company Longitude,Company Latitude,Number of Investments,Number of Portfolio Organizations,Number of Lead Investments,Number of Exits,Lead,Specific VC Binary,Accelerator,Angel Group,Micro VC,Corporate Venture Capital,Target VC,Distance km,Local Investor,Announced Date,Investment Year,Investor Founded Year,Investor Age at Investment,num_investors,Syndication Role,Seed Investor Same City,Seed Lead Investor Same City,Country,Headquarters Country,Homecountry Investor,Homecountry Lead Investor,Seed Investor Within 50km,Seed Lead Investor Within 50km,Investor Distance to Hub,Hub_VC_Flag,Hub_Lead_VC_Flag
000023,000065,Linker Cloud Fulfillment Network,https://www.crunchbase.com/organization/linker-cloud-fulfillment-platform,2017,000292,Street Smart capital,https://www.crunchbase.com/organization/street-smart-capital,2020-01-01,24.9413548,60.1717794,21.0067249,52.2319581,1,1.0,0,0.0,False,False,False,False,False,False,False,915.3905848026719,False,2022-02-14,2022,2020.0,2.0,4,Co-Investor,False,False,Finland,Poland,False,False,False,False,0.4833470476979439,True,False
000023,000065,Linker Cloud Fulfillment Network,https://www.crunchbase.com/organization/linker-cloud-fulfillment-platform,2017,000106,Market One Capital,https://www.crunchbase.com/organization/market-one-capital,2017-12-01,6.1342493,49.5999681,21.0067249,52.2319581,57,36.0,20,6.0,True,False,False,False,False,False,False,1080.7239637088346,False,2022-02-14,2022,2017.0,5.0,4,Lead,False,False,Luxembourg,Poland,False,False,False,False,187.86111056616966,False,False
000024,000092,Secfense,https://www.crunchbase.com/organization/secfense,2018,000087,Presto Ventures,https://www.crunchbase.com/organization/presto-ventures,2016-01-01,14.4464593,50.0596288,19.9368564,50.0619474,75,59.0,37,2.0,False,False,False,False,False,False,False,391.84010553681287,False,2022-03-24,2022,2016.0,6.0,3,Co-Investor,False,False,Czech Republic,,False,False,False,False,0.0,True,False
000024,000092,Secfense,https://www.crunchbase.com/organization/secfense,2018,000102,Tera Ventures,https://www.crunchbase.com/organization/tera-ventures,2016-01-01,24.7453688,59.4372155,19.9368564,50.0619474,61,37.0,41,8.0,True,False,False,False,False,False,False,1086.4943518985372,False,2022-03-24,2022,2016.0,6.0,3,Lead,False,False,Estonia,,False,False,False,False,0.0,True,True
000024,000092,Secfense,https://www.crunchbase.com/organization/secfense,2018,000161,RKKVC,https://www.crunchbase.com/organization/rkkvc,2020-01-01,21.0067249,52.2319581,19.9368564,50.0619474,21,20.0,1,1.0,False,False,False,False,False,False,False,252.56392777356123,False,2022-03-24,2022,2020.0,2.0,3,Co-Investor,False,False,Poland,,False,False,False,False,0.0,True,False
000025,000026,Airly,https://www.crunchbase.com/organization/airly-ddd4,2016,000056,Expa,https://www.crunchbase.com/organization/expa,2013-05-02,-122.4193286,37.7792588,19.9368564,50.0619474,127,86.0,22,14.0,False,False,True,False,False,False,False,9574.2504852468,False,2021-03-22,2021,2013.0,8.0,2,Co-Investor,False,False,United States,Poland,False,False,False,False,8176.244865509954,False,False
000025,000026,Airly,https://www.crunchbase.com/organization/airly-ddd4,2016,000042,Firstminute Capital,https://www.crunchbase.com/organization/firstminute-capital,2017-01-01,-0.1440551,51.4893335,19.9368564,50.0619474,173,125.0,45,11.0,True,False,False,False,False,False,True,1416.3568042175455,False,2021-03-22,2021,2017.0,4.0,2,Lead,False,False,United Kingdom,Poland,False,False,False,False,4.639509600861927,True,True
000028,000089,SonarHome,https://www.crunchbase.com/organization/sonarhome,2018,000253,Corvus Ventures,https://www.crunchbase.com/organization/corvus-ventures,2017-01-01,78.0268285,15.8141912,21.0067249,52.2319581,5,5.0,0,0.0,False,False,False,False,False,False,False,6402.01835788683,False,2021-06-23,2021,2017.0,4.0,3,Co-Investor,False,False,India,Poland,False,False,False,False,5714.355860580899,False,False
000028,000089,SonarHome,https://www.crunchbase.com/organization/sonarhome,2018,000106,Market One Capital,https://www.crunchbase.com/organization/market-one-capital,2017-12-01,6.1342493,49.5999681,21.0067249,52.2319581,57,36.0,20,6.0,True,False,False,False,False,False,False,1080.7239637088346,False,2021-06-23,2021,2017.0,4.0,3,Lead,False,False,Luxembourg,Poland,False,False,False,False,187.86111056616966,False,False
000028,000089,SonarHome,https://www.crunchbase.com/organization/sonarhome,2018,000166,Kogito Ventures,https://www.crunchbase.com/organization/kogito-ventures,2016-06-01,21.0067249,52.2319581,21.0067249,52.2319581,19,18.0,8,2.0,False,False,False,True,False,False,False,0.0,True,2021-06-23,2021,2016.0,5.0,3,Co-Investor,True,False,Poland,Poland,True,False,True,False,0.0,True,False
000029,000090,Labplus,https://www.crunchbase.com/organization/labplus-d7e1,2018,000138,LT Capital,https://www.crunchbase.com/organization/lt-capital-5861,2018-01-01,19.9368564,50.0619474,17.0326689,51.1089776,33,31.0,13,1.0,True,True,False,False,False,False,False,235.7610105830191,False,2021-12-01,2021,2018.0,3.0,2,Lead,False,False,Poland,,False,False,False,False,252.56392777356123,False,False
000029,000090,Labplus,https://www.crunchbase.com/organization/labplus-d7e1,2018,000137,Movens Capital,https://www.crunchbase.com/organization/movens-capital,2018-04-04,21.0067249,52.2319581,17.0326689,51.1089776,33,24.0,14,0.0,False,False,False,False,False,False,False,301.1089548473384,False,2021-12-01,2021,2018.0,3.0,2,Co-Investor,False,False,Poland,,False,False,False,False,0.0,True,False
000030,000320,SpotBrowser,https://www.crunchbase.com/organization/spotbrowser,2016,000218,Czysta3.vc,https://www.crunchbase.com/organization/czysta3-vc,2017-09-01,17.0326689,51.1089776,22.0047174,50.0374531,9,8.0,6,0.0,True,False,False,False,False,False,False,370.6973000361476,False,2022-01-24,2022,2017.0,5.0,1,Lead,False,False,Poland,,False,False,False,False,216.67097873246595,False,False
