company_id,organization_name,founded_year,headquarters_country,number_of_founders,age,hub_binary,b2b_binary,years_to_seed,total_seed_funding_m,number_seed_rounds,avg_seed_investor_distance,avg_seed_investor_pairwise_distance,average_seed_investors_portfolio_organizations,avg_age_of_seed_investors,specific_vc_in_seed_binary,target_vc_in_seed_binary,hub_vc_in_seed_binary,accelerator_funding_binary,angel_group_funding_binary,micro_vc_funding_binary,corporate_vc_funding_binary,homecountry_investor_in_seed_binary,seed_investor_same_city,energy,materials,industrials,consumer_discretionary,consumer_staples,health_care,financials,information_technology,communication_services,utilities,real_estate,other,degree_global,betweenness_global,closeness_global,eigenvector_global,degree_homecountry,betweenness_homecountry,closeness_homecountry,eigenvector_homecountry,success,exit_binary,funding_success
3515,Pluto,2021,France,2.0,1,True,True,1,2.794660476152623,1,342.60840402510934,0.0,350.0,11.0,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0103115242175586,0.0,0.3459653867680899,0.0005064798631594,0.0120567375886524,0.0,0.3221063563496924,0.0047895735061952,False,False,False
1484,Hillo,2016,France,2.0,2,True,True,2,1.436604,2,490.9923573225751,0.0,30.0,12.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,0.0005809309418342,5.699799780979103e-06,0.2819597621067738,8.594100641797374e-06,0.0,0.0,0.0,1.1876262166942208e-190,False,False,False
2222,Meilisearch,2018,France,3.0,2,True,True,2,5.0,2,2068.4170176089415,3454.289533926899,367.8,16.8,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0262871251180016,0.0005735270658922,0.376562261812097,0.0018531146490188,0.0205673758865248,0.002336527984955,0.3391710315279445,0.0051002393832621,True,False,True
2320,YZR,2019,France,3.0,1,True,True,1,2.424098,1,0.0,0.0,29.0,0.0,False,False,True,False,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,False,0.0011618618836685,1.2797871642525709e-07,0.3067701963743129,2.4815161171027345e-05,0.0078014184397163,0.0,0.3146246683660199,0.0016910442703691,False,False,False
1231,MaaT Pharma,2014,France,1.0,1,False,True,1,2.254614,2,391.812013689019,0.0,197.0,18.0,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,0.0032677365478178,0.0005723362364609,0.3244597807148979,1.5761912344033987e-05,0.0198581560283687,0.0015469823573348,0.3186762985678606,0.0017727280758589,True,True,True
1454,Prevision.io,2016,France,4.0,1,True,True,1,1.749824,1,398.8326676125974,0.0,36.0,4.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0023237237673371,0.000165893304991,0.3203617120929962,0.0001266155956275,0.0141843971631205,0.0020615866076587,0.3351080452127659,0.0051635824659695,True,True,False
2503,Nurea,2018,France,1.0,4,False,True,4,1.047845,1,1443.3364718058565,0.0,6.0,31.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,0.0002178491031878,0.0001515721428129,0.2571126477086022,1.6075323119919229e-06,0.0,0.0,0.0,1.1876262166942208e-190,False,False,False
2308,Vianova,2019,France,3.0,1,True,True,1,3.309444,2,1041.5230403047726,1090.385057067734,27.25,4.5,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0015975600900442,0.0001266469742583,0.3010874228673326,1.410210093309838e-05,0.001418439716312,0.0,0.2501584163330134,5.9728119932081866e-05,False,False,False
2447,MatchTune,2017,France,5.0,1,True,False,1,2.794660476152623,1,0.0,0.0,39.0,3.0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,True,True,False,False,False,0.0013070946191271,4.8429924524288166e-06,0.2871404851773009,4.115339898107216e-06,0.0113475177304964,8.685728138706652e-05,0.3196261534071091,0.0022675507641973,False,False,False
2813,NessPay,2020,France,1.0,1,True,True,1,2.794660476152623,1,11.147721166778204,0.0,28.0,1.0,False,False,True,False,False,False,False,True,True,False,False,True,False,False,True,True,False,False,False,False,False,0.0016701764577735,7.077537899972887e-05,0.2996009487176161,7.295893853228185e-06,0.0085106382978723,0.0011304684715384,0.3077768221997181,0.0015839218486619,False,False,False
2406,Nextmind,2017,France,2.0,1,True,True,1,4.6,1,1726.4737467158766,396.0167542263701,36.5,3.0,True,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.0034855856510057,0.0005780956040327,0.3239741230663288,0.0001284551110553,0.0042553191489361,0.0003978642648913,0.2968431127144224,0.0007076597407575,True,True,False
3155,Cajoo,2021,France,2.0,0,True,False,0,7.180469,1,0.0,0.0,91.0,9.5,False,True,True,False,False,True,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,0.0038486674896521,0.0001697939283822,0.3237399093362365,3.0109769652914977e-05,0.0297872340425531,0.002161646075568,0.3576472744905562,0.0088935363827262,True,True,True
1391,ReachFive,2013,France,2.0,4,True,True,4,2.558991,1,287.1407924261901,0.0,8.0,2.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0003630818386464,0.0,0.2605952306279606,1.1549768676023368e-06,0.002127659574468,0.0,0.2430704370262601,4.693651410763865e-05,True,True,False
1368,Octoly,2013,France,3.0,2,True,True,2,1.2,1,0.0,0.0,56.0,0.0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,True,False,False,False,0.0013070946191271,0.0,0.2889678183198814,2.094067122992969e-06,0.0106382978723404,0.0,0.2819489249818189,0.0004836398030549,True,True,False
1775,leboncoin Emploi Cadres,2013,France,2.0,2,True,True,2,1.354934,1,1348.7797171985453,0.0,44.0,8.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,0.0,0.0,0.0,5.6269810519241455e-55,0.0,0.0,0.0,1.1876262166942208e-190,True,True,False
1802,Short Edition,2011,France,1.0,2,True,False,2,1.602706,1,198.10416979915829,389.5195163546202,68.0,60.5,False,False,True,True,False,False,True,True,True,False,False,False,True,False,False,False,False,False,False,False,True,0.0011618618836685,0.0,0.2828502324638727,2.681966384920802e-06,0.0106382978723404,0.0,0.3185185380240152,0.0021356030473545,False,False,False
1892,Keycoopt,2011,France,2.0,3,False,True,3,3.908186,1,26.323043807596317,0.0,38.0,1.0,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0011618618836685,8.913489189825205e-05,0.3032245895935787,1.2161732823688243e-05,0.0078014184397163,2.0552428840414797e-05,0.2948705072449636,0.0010316828945309,False,False,False
3573,ECLO,2021,France,2.0,1,False,False,1,2.794660476152623,1,765.1594382612578,0.0,19.0,4.0,False,False,False,True,False,False,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,0.0018880255609614,0.000249939657899,0.3193219091473552,2.7407348381296295e-05,0.0063829787234042,0.0010476334346313,0.2757263538926551,0.0010007013794516,False,False,False
1354,Dolead,2007,France,2.0,0,True,True,0,2.794660476152623,1,848.2469801220972,1696.4939602441943,1.0,5.0,False,False,True,False,False,False,True,True,True,False,False,True,False,False,False,False,True,True,False,False,False,0.0009440127804807,5.000750109901157e-07,0.2996769983411512,4.451356000968764e-06,0.0056737588652482,0.0,0.2956835693053817,0.0006641542768783,True,True,False
1859,inWebo,2008,France,3.0,5,True,True,5,2.503329,1,512.6931314063108,0.0,24.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0018154091932321,0.000215941658676,0.3104368016425738,1.1482759353194422e-05,0.0113475177304964,0.0003226732428784,0.2990506376056289,0.0009522833454105,False,False,False
1421,SmartViser,2014,France,2.0,3,False,True,3,2.794660476152623,1,302.4498608098187,0.0,23.0,0.0,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0002904654709171,0.0,0.2594965076054309,6.464588455814247e-07,0.001418439716312,0.0,0.2334993456027982,1.909843912139061e-05,False,False,False
1670,Difenso,2015,France,2.0,2,True,True,2,2.275792,1,512.6931314063108,0.0,24.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0011618618836685,7.08229074554944e-08,0.2904738016264156,2.5627081672995944e-06,0.0099290780141843,0.0,0.2895623072945592,0.0007656591976205,False,False,False
2737,Youree,2020,France,3.0,2,True,True,2,2.794660476152623,1,1482.9444708599565,0.0,19.0,1.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.0006535473095635,1.1823854707635955e-05,0.2811357288574847,4.0437546180051445e-06,0.002127659574468,4.1803226165199097e-05,0.2380345715162821,4.1828122017077865e-05,False,False,False
1542,Kombo,2016,France,4.0,2,True,False,2,0.739773,1,287.1407924261901,0.0,113.0,4.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,0.0010892455159392,1.4791202747399112e-05,0.314534555394153,0.000121725160202,0.0035460992907801,0.0001658753902599,0.2722841501517184,0.0003533589808815,False,False,False
2743,WIND my ROOF,2018,France,2.0,2,True,True,2,0.220548,1,360.4259127967867,0.0,151.0,10.0,True,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.0024689565027957,1.555818748041005e-05,0.300092495045957,7.703215615912478e-06,0.0049645390070921,0.000396747572518,0.2956156429168438,0.0016746284412841,False,False,False
1843,WhiteQuest,2013,France,1.0,3,False,True,3,0.110455,1,12.433437590554654,0.0,22.0,10.0,False,False,True,False,True,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,True,0.0115460024689565,0.0031459986363421,0.3599163772272543,0.000358807818109,0.0241134751773049,0.0085649560981659,0.3464768157288695,0.0052776766591849,False,False,False
2328,Acheel,2020,France,1.0,1,True,False,1,35.445346,1,3000.350723971333,6000.701447942666,93.0,9.0,False,False,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,0.001524943722315,2.191329931255703e-05,0.3010385665665359,1.4275453749841796e-05,0.0141843971631205,0.0007612843239382,0.3217037234042553,0.0035409631533875,True,False,True
1590,AÉRYNE,2014,France,1.0,3,True,False,3,2.794660476152623,1,1543.783158413782,0.0,2.0,1.0,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,0.0003630818386464,0.0,0.2565894002037815,3.4279329843176683e-06,0.0,0.0,0.0,1.1876262166942208e-190,False,False,False
1913,Swish,2016,France,1.0,0,True,False,0,2.794660476152623,1,342.60840402510934,0.0,15.0,1.0,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,0.01219954977852,0.0009185342410679,0.359348701489078,0.0007263531944904,0.0092198581560283,0.0007331483493614,0.320262541965411,0.0024460154346528,False,False,False
2338,Axonaut,2017,France,2.0,2,False,True,2,0.67725,1,395.11150799841425,373.23716340596474,16.0,1.0,False,False,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,False,0.0005809309418342,8.119590096878258e-05,0.2725394065711183,3.90491157032922e-06,0.0042553191489361,0.0001075505828577,0.2628835329146111,0.0001779737380173,False,False,False
2705,Cyberjobs,2018,France,3.0,4,True,True,4,0.915292,1,308.12846758670935,0.0,22.0,4.0,False,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,False,False,False,False,0.0004356982063757,0.0001410350136929,0.2675808774053487,3.883145586348407e-06,0.0035460992907801,0.0,0.2572086535312854,0.0001645175612105,False,False,False
1879,News Republic,2008,France,2.0,1,False,False,1,1.3,1,912.3636897003552,0.0,59.0,6.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,0.0008713964127514,0.0,0.2832883103510708,8.07776054310618e-06,0.0,0.0,0.0,1.1876262166942208e-190,True,True,False
1757,Proprioo,2016,France,2.0,1,True,False,1,2.794660476152623,1,780.6161860152033,503.23271378014306,435.0,3.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,0.010674606056205,4.192959822989381e-05,0.3457443285086603,0.0001107728571209,0.0134751773049645,0.0,0.3195467826215598,0.0048974071583235,True,True,True
3060,Karmen,2021,France,3.0,1,True,True,1,3.963226,1,2410.328323047041,4199.582936026073,200.33333333333337,6.3,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,0.0060271585215307,0.0003152485207427,0.3460760219350777,0.0002078416512957,0.0198581560283687,0.0012036717755543,0.3157827959796371,0.0039440412892601,False,False,False
2553,Cryptr,2020,France,1.0,2,False,True,2,2.794660476152623,1,206.0909617549928,228.40560268340624,36.0,4.0,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,0.0031225038123593,0.0001415961032224,0.3313644133375976,0.0001407151492187,0.0234042553191489,0.0018386385320479,0.330206541857075,0.0066191957111499,False,False,False
1509,Luko,2016,France,2.0,2,True,False,2,2.394301,1,367.2102088570642,734.4033222299057,95.0,11.0,False,False,False,False,False,False,False,True,False,False,False,True,True,False,False,True,True,False,False,True,False,0.0055188439474257,0.0006006064904735,0.3403349945781694,0.0002141025650689,0.0148936170212765,0.0005847960352461,0.341511383656322,0.0057911199065088,True,True,True
1441,Revers.io,2009,France,1.0,2,True,True,2,6.076882,3,0.0,0.0,17.8,8.5,True,False,True,False,False,False,False,True,True,False,False,True,True,False,False,False,True,False,False,False,True,0.0046474475346743,0.0005012358511577,0.3329787113949332,0.0001356599709181,0.0148936170212765,0.003148862539085,0.3369507445972823,0.0053964551651596,False,False,False
2895,Bandit Paris,2018,France,2.0,1,True,False,1,0.21799,1,0.0,0.0,82.0,1.0,False,False,True,True,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,0.0024689565027957,0.0,0.3154207403845767,0.0003632140417903,0.0234042553191489,0.0,0.3483527053646511,0.0252406890975677,False,False,False
1706,WeMoms,2014,France,2.0,1,True,True,1,0.677226,1,3089.8622644929687,5569.791902778004,15.0,0.0,True,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,False,0.0055188439474257,7.45011152195121e-05,0.3396762587129575,6.17227410346447e-05,0.0163120567375886,0.0008062539349004,0.3219451822909736,0.0035302418299654,False,False,False
